clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1527319932,125216,71112,2,204,854,0.0000,0.0400,0.0500,2593,96.3317,0.0000,0.3180,0.0167,0.1675,0.0000,1.4570,1.8075,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397883904,408983552,87.2071,494512128,59996160,90.2156,79680208896,7397896192,68211113984,90.2156,79680208896,7397896192,68211113984,90.2156,79680208896,7397896192,7669280768,8371621888,1,0,0,0
1527319937,190912,115800,4,204,859,0.0000,0.0400,0.0500,2141,96.2163,0.0000,0.3182,0.0167,0.1842,0.0000,1.4566,1.7750,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397904384,408983552,87.2071,494512128,59996160,90.2156,79680208896,7397912576,68211097600,90.2156,79680208896,7397912576,68211097600,90.2156,79680208896,7397912576,7669301248,8371621888,1,0,0,0
1527319942,125992,70544,4,209,874,0.0000,0.0400,0.0400,2632,96.2144,0.0000,0.3516,0.0167,0.2344,0.0000,1.4403,1.7750,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397916672,408983552,87.2071,494512128,59996160,90.2156,79680208896,7397916672,68211085312,90.2156,79680208896,7397924864,68211085312,90.2156,79680208896,7397924864,7669313536,8371621888,1,0,0,0
1527319947,195720,85168,2,204,813,0.0000,0.0400,0.0400,2100,96.1996,0.0000,0.3516,0.0167,0.2177,0.0000,1.4070,1.8419,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2156,79680208896,7397924864,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397933056,68211077120,90.2155,79680208896,7397933056,68211077120,90.2155,79680208896,7397933056,7669194752,8371621888,1,0,0,0
1527319952,133712,81312,2,204,917,0.0000,0.0400,0.0400,2723,96.2150,0.0000,0.3349,0.0167,0.2009,0.0000,1.4401,1.8084,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397941248,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397941248,68211068928,90.2155,79680208896,7397941248,68211068928,90.2155,79680208896,7397941248,7669202944,8371621888,1,0,0,0
1527319957,199976,106360,2,204,811,0.0000,0.0400,0.0400,2200,96.1989,0.0000,0.3181,0.0168,0.1842,0.0000,1.4568,1.7914,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397949440,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397949440,68211060736,90.2155,79680208896,7397949440,68211060736,90.2155,79680208896,7397949440,7669096448,8371621888,1,0,0,0
1527319962,119808,80216,4,204,895,0.0000,0.0400,0.0400,2537,96.2144,0.0000,0.3350,0.0167,0.1675,0.0000,1.4738,1.8087,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397957632,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397957632,68211044352,90.2155,79680208896,7397965824,68211044352,90.2155,79680208896,7397965824,7669104640,8371621888,1,0,0,0
1527319967,202184,110104,4,204,842,0.0000,0.0400,0.0400,2287,96.2963,0.0000,0.3183,0.0168,0.1675,0.0000,1.4575,1.8093,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397965824,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397978112,68211032064,90.2155,79680208896,7397978112,68211032064,90.2155,79680208896,7397978112,7668985856,8371621888,1,0,0,0
1527319972,125600,75160,4,204,845,0.0000,0.0400,0.0400,2651,96.4118,0.0000,0.2850,0.0168,0.1509,0.0000,1.4087,1.7273,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397986304,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397986304,68211023872,90.2155,79680208896,7397986304,68211023872,90.2155,79680208896,7397986304,7669006336,8371621888,1,0,0,0
1527319977,199760,85416,4,204,952,0.0000,0.0400,0.0400,2548,96.3609,0.0000,0.3017,0.0168,0.1676,0.0000,1.4082,1.7767,4294963200,100.0000,4294963200,95.4818,99.7583,95.4818,95.4818,95.4818,90.2155,79680208896,7397994496,408983552,87.2071,494512128,59996160,90.2155,79680208896,7397994496,68211007488,90.2154,79680208896,7398002688,68211015680,90.2155,79680208896,7397994496,7669014528,8371621888,1,0,0,0
