clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1527319934,4637904,3808888,3,232,3447,0.3100,0.1300,0.1900,5694,87.0935,0.0000,0.2698,0.0169,3.2878,0.0000,3.1182,6.9140,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0568,79680208896,6761893888,408983552,87.2071,494512128,59996160,91.0570,79680208896,6761709568,68847198208,91.0569,79680208896,6761811968,68847247360,91.0569,79680208896,6761762816,7599493120,8371621888,1,0,0,0
1527319939,5478840,4712000,3,232,3193,0.2900,0.1300,0.1800,5597,85.4518,0.0000,0.2700,0.0169,3.9642,0.0000,3.3210,7.9636,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0562,79680208896,6762311680,408983552,87.2071,494512128,59996160,91.0565,79680208896,6762057728,68846788608,91.0563,79680208896,6762217472,68846862336,91.0564,79680208896,6762147840,7599292416,8371621888,1,0,0,0
1527319944,5623832,4679544,2,232,3495,0.2400,0.1300,0.1800,6090,83.6259,0.0000,0.2197,0.0169,4.6092,0.0000,3.6318,8.9219,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0557,79680208896,6762721280,408983552,87.2071,494512128,59996160,91.0560,79680208896,6762475520,68846374912,91.0558,79680208896,6762635264,68846456832,91.0559,79680208896,6762553344,7599116288,8371621888,1,0,0,0
1527319949,5243736,4423912,2,232,3430,0.2200,0.1300,0.1800,5827,81.5252,0.0000,0.2362,0.0169,5.2303,0.0000,4.1336,9.8195,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0552,79680208896,6763110400,408983552,87.2071,494512128,59996160,91.0555,79680208896,6762868736,68845973504,91.0553,79680208896,6763032576,68846051328,91.0554,79680208896,6762958848,7599251456,8371621888,1,0,0,0
1527319954,5301664,4469840,2,232,3310,0.2200,0.1200,0.1700,6308,79.6321,0.0000,0.2027,0.0169,5.6776,0.0000,4.3874,10.5219,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0547,79680208896,6763429888,408983552,87.2071,494512128,59996160,91.0549,79680208896,6763270144,68845658112,91.0548,79680208896,6763352064,68845735936,91.0549,79680208896,6763274240,7598637056,8371621888,1,0,0,0
1527319959,5240968,4414688,2,232,3404,0.2000,0.1200,0.1700,5797,78.2454,0.0000,0.2029,0.0169,6.1697,0.0000,4.7192,11.4793,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0542,79680208896,6763827200,408983552,87.2071,494512128,59996160,91.0545,79680208896,6763589632,68845256704,91.0543,79680208896,6763753472,68845346816,91.0544,79680208896,6763663360,7598800896,8371621888,1,0,0,0
1527319964,5319720,4431240,2,232,3310,0.1900,0.1200,0.1700,6292,76.3265,0.0000,0.2199,0.0169,6.7186,0.0000,5.1048,12.5169,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0537,79680208896,6764220416,408983552,87.2071,494512128,59996160,91.0540,79680208896,6763982848,68844863488,91.0538,79680208896,6764146688,68844949504,91.0539,79680208896,6764060672,7598403584,8371621888,1,0,0,0
1527319969,5230752,4457760,2,232,3393,0.1700,0.1200,0.1600,5827,74.5731,0.0000,0.2194,0.0169,7.0598,0.0000,5.3209,13.3333,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0532,79680208896,6764621824,408983552,87.2071,494512128,59996160,91.0535,79680208896,6764384256,68844470272,91.0533,79680208896,6764535808,68844552192,91.0534,79680208896,6764457984,7598436352,8371621888,1,0,0,0
1527319974,5233848,4365880,3,232,3298,0.1600,0.1200,0.1800,6143,73.5859,0.0000,0.2188,0.0168,7.2137,0.0000,5.5565,13.6149,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0526,79680208896,6765006848,408983552,87.2071,494512128,59996160,91.0530,79680208896,6764773376,68844072960,91.0527,79680208896,6764937216,68844150784,91.0528,79680208896,6764859392,7598141440,8371621888,1,0,0,0
1527319979,5286840,4481040,2,232,3403,0.2300,0.1300,0.1800,5701,73.3994,0.0000,0.2186,0.0168,7.2761,0.0000,5.4659,13.5721,4294963200,100.0000,4294963200,95.5975,99.7583,95.5975,95.5975,95.5975,91.0521,79680208896,6765412352,408983552,87.2071,494512128,59996160,91.0524,79680208896,6765178880,68843671552,91.0522,79680208896,6765338624,68843761664,91.0523,79680208896,6765248512,7598280704,8371621888,1,0,0,0
