clock,net.if.in[ens160],net.if.out[ens160],"proc.num[,,run]",proc.num[],system.cpu.intr,"system.cpu.load[percpu,avg1]","system.cpu.load[percpu,avg15]","system.cpu.load[percpu,avg5]",system.cpu.switches,"system.cpu.util[,idle]","system.cpu.util[,interrupt]","system.cpu.util[,iowait]","system.cpu.util[,nice]","system.cpu.util[,softirq]","system.cpu.util[,steal]","system.cpu.util[,system]","system.cpu.util[,user]","system.swap.size[,free]","system.swap.size[,pfree]","system.swap.size[,total]","vfs.fs.inode[/,pfree]","vfs.fs.inode[/boot,pfree]","vfs.fs.inode[/var/lib/docker/aufs,pfree]","vfs.fs.inode[/var/lib/kubelet,pfree]","vfs.fs.inode[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/,pfree]","vfs.fs.size[/,total]","vfs.fs.size[/,used]","vfs.fs.size[/boot,free]","vfs.fs.size[/boot,pfree]","vfs.fs.size[/boot,total]","vfs.fs.size[/boot,used]","vfs.fs.size[/var/lib/docker/aufs,pfree]","vfs.fs.size[/var/lib/docker/aufs,total]","vfs.fs.size[/var/lib/docker/aufs,used]","vfs.fs.size[/var/lib/kubelet,free]","vfs.fs.size[/var/lib/kubelet,pfree]","vfs.fs.size[/var/lib/kubelet,total]","vfs.fs.size[/var/lib/kubelet,used]","vfs.fs.size[/var/lib/rancher/volumes,free]","vfs.fs.size[/var/lib/rancher/volumes,pfree]","vfs.fs.size[/var/lib/rancher/volumes,total]","vfs.fs.size[/var/lib/rancher/volumes,used]",vm.memory.size[available],vm.memory.size[total],normal,cpu,mem,io
1527319932,18433768,21967376,6,221,5297,0.7600,0.8100,1.1500,8842,62.3250,0.0000,0.1811,0.0165,8.0796,0.0000,4.7933,20.3621,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0394,79680208896,6775001088,408983552,87.2071,494512128,59996160,91.0394,79680208896,6775017472,68834009088,91.0394,79680208896,6775001088,68834009088,91.0394,79680208896,6775001088,5737193472,8371621888,0,0,1,0
1527319937,20594488,27679208,2,221,5184,0.7800,0.8100,1.1400,9902,54.4406,0.0000,0.1648,0.0165,10.1385,0.0000,7.2781,23.4053,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0394,79680208896,6775054336,408983552,87.2071,494512128,59996160,91.0393,79680208896,6775074816,68833964032,91.0394,79680208896,6775046144,68833984512,91.0394,79680208896,6775025664,3205246976,8371621888,1,0,0,0
1527319942,24647808,29043200,2,221,5408,0.8000,0.8100,1.1400,10193,47.8333,0.0000,0.1648,0.0165,11.8694,0.0000,8.1549,28.6750,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0393,79680208896,6775111680,408983552,87.2071,494512128,59996160,91.0392,79680208896,6775140352,68833910784,91.0393,79680208896,6775099392,68833927168,91.0393,79680208896,6775083008,3203321856,8371621888,1,0,0,0
1527319947,25300616,27547056,2,221,5496,0.7300,0.8100,1.1200,9798,41.4538,0.0000,0.1484,0.0165,13.6454,0.0000,8.8332,32.8001,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0392,79680208896,6775169024,408983552,87.2071,494512128,59996160,91.0392,79680208896,6775197696,68833849344,91.0392,79680208896,6775160832,68833861632,91.0392,79680208896,6775148544,3202170880,8371621888,1,0,0,0
1527319952,25282592,27531112,2,221,5435,1.0000,0.8200,1.1700,10330,36.2932,0.0000,0.1154,0.0165,15.1310,0.0000,9.3621,36.0475,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0391,79680208896,6775226368,408983552,87.2071,494512128,59996160,91.0391,79680208896,6775250944,68833804288,91.0392,79680208896,6775205888,68833804288,91.0392,79680208896,6775205888,3201744896,8371621888,1,0,0,0
1527319957,25152200,27632880,3,221,5418,1.0800,0.8300,1.1800,9546,29.8945,0.0000,0.1153,0.0165,17.0073,0.0000,9.9341,39.8946,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0390,79680208896,6775291904,408983552,87.2071,494512128,59996160,91.0390,79680208896,6775312384,68833738752,91.0391,79680208896,6775271424,68833751040,91.0391,79680208896,6775259136,3199913984,8371621888,1,0,0,0
1527319962,25309288,27447392,2,221,5501,1.3100,0.8500,1.2300,10095,23.6379,0.0000,0.1152,0.0165,18.7130,0.0000,10.5254,43.7603,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0390,79680208896,6775341056,408983552,87.2071,494512128,59996160,91.0389,79680208896,6775369728,68833681408,91.0390,79680208896,6775328768,68833689600,91.0390,79680208896,6775320576,3197693952,8371621888,1,0,0,0
1527319967,24920616,27525312,3,221,5383,1.4500,0.8600,1.2600,9956,19.9967,0.0000,0.0989,0.0165,19.9107,0.0000,11.2025,46.9183,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0389,79680208896,6775406592,408983552,87.2071,494512128,59996160,91.0389,79680208896,6775431168,68833619968,91.0389,79680208896,6775390208,68833632256,91.0389,79680208896,6775377920,3196456960,8371621888,1,0,0,0
1527319972,25672248,27713928,2,221,5573,1.6500,0.8800,1.3100,10007,18.9747,0.0000,0.0996,0.0166,20.4258,0.0000,11.4683,48.6643,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0388,79680208896,6775468032,408983552,87.2071,494512128,59996160,91.0388,79680208896,6775496704,68833550336,91.0388,79680208896,6775459840,68833570816,91.0388,79680208896,6775439360,3195588608,8371621888,1,0,0,0
1527319977,25487096,27860256,6,221,5372,2.1600,0.9100,1.4200,9838,18.0997,0.0000,0.1000,0.0167,20.8786,0.0000,11.4648,49.1000,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,91.0387,79680208896,6775529472,408983552,87.2071,494512128,59996160,91.0387,79680208896,6775558144,68833488896,91.0387,79680208896,6775521280,68833501184,91.0388,79680208896,6775504896,3194253312,8371621888,1,0,0,0
