clock,bono_net.if.in[ens160],bono_net.if.out[ens160],"bono_proc.num[,,run]",bono_proc.num[],bono_system.cpu.intr,"bono_system.cpu.load[percpu,avg1]","bono_system.cpu.load[percpu,avg15]","bono_system.cpu.load[percpu,avg5]",bono_system.cpu.switches,"bono_system.cpu.util[,idle]","bono_system.cpu.util[,interrupt]","bono_system.cpu.util[,iowait]","bono_system.cpu.util[,nice]","bono_system.cpu.util[,softirq]","bono_system.cpu.util[,steal]","bono_system.cpu.util[,system]","bono_system.cpu.util[,user]","bono_system.swap.size[,free]","bono_system.swap.size[,pfree]","bono_system.swap.size[,total]","bono_vfs.fs.inode[/,pfree]","bono_vfs.fs.inode[/boot,pfree]","bono_vfs.fs.inode[/var/lib/docker/aufs,pfree]","bono_vfs.fs.inode[/var/lib/kubelet,pfree]","bono_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/,pfree]","bono_vfs.fs.size[/,total]","bono_vfs.fs.size[/,used]","bono_vfs.fs.size[/boot,free]","bono_vfs.fs.size[/boot,pfree]","bono_vfs.fs.size[/boot,total]","bono_vfs.fs.size[/boot,used]","bono_vfs.fs.size[/var/lib/docker/aufs,pfree]","bono_vfs.fs.size[/var/lib/docker/aufs,total]","bono_vfs.fs.size[/var/lib/docker/aufs,used]","bono_vfs.fs.size[/var/lib/kubelet,free]","bono_vfs.fs.size[/var/lib/kubelet,pfree]","bono_vfs.fs.size[/var/lib/kubelet,total]","bono_vfs.fs.size[/var/lib/kubelet,used]","bono_vfs.fs.size[/var/lib/rancher/volumes,free]","bono_vfs.fs.size[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/var/lib/rancher/volumes,total]","bono_vfs.fs.size[/var/lib/rancher/volumes,used]",bono_vm.memory.size[available],bono_vm.memory.size[total],homestead_net.if.in[ens160],homestead_net.if.out[ens160],"homestead_proc.num[,,run]",homestead_proc.num[],homestead_system.cpu.intr,"homestead_system.cpu.load[percpu,avg1]","homestead_system.cpu.load[percpu,avg15]","homestead_system.cpu.load[percpu,avg5]",homestead_system.cpu.switches,"homestead_system.cpu.util[,idle]","homestead_system.cpu.util[,interrupt]","homestead_system.cpu.util[,iowait]","homestead_system.cpu.util[,nice]","homestead_system.cpu.util[,softirq]","homestead_system.cpu.util[,steal]","homestead_system.cpu.util[,system]","homestead_system.cpu.util[,user]","homestead_system.swap.size[,free]","homestead_system.swap.size[,pfree]","homestead_system.swap.size[,total]","homestead_vfs.fs.inode[/,pfree]","homestead_vfs.fs.inode[/boot,pfree]","homestead_vfs.fs.inode[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.inode[/var/lib/kubelet,pfree]","homestead_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/,pfree]","homestead_vfs.fs.size[/,total]","homestead_vfs.fs.size[/,used]","homestead_vfs.fs.size[/boot,free]","homestead_vfs.fs.size[/boot,pfree]","homestead_vfs.fs.size[/boot,total]","homestead_vfs.fs.size[/boot,used]","homestead_vfs.fs.size[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.size[/var/lib/docker/aufs,total]","homestead_vfs.fs.size[/var/lib/docker/aufs,used]","homestead_vfs.fs.size[/var/lib/kubelet,free]","homestead_vfs.fs.size[/var/lib/kubelet,pfree]","homestead_vfs.fs.size[/var/lib/kubelet,total]","homestead_vfs.fs.size[/var/lib/kubelet,used]","homestead_vfs.fs.size[/var/lib/rancher/volumes,free]","homestead_vfs.fs.size[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/var/lib/rancher/volumes,total]","homestead_vfs.fs.size[/var/lib/rancher/volumes,used]",homestead_vm.memory.size[available],homestead_vm.memory.size[total],sprout_net.if.in[ens160],sprout_net.if.out[ens160],"sprout_proc.num[,,run]",sprout_proc.num[],sprout_system.cpu.intr,"sprout_system.cpu.load[percpu,avg1]","sprout_system.cpu.load[percpu,avg15]","sprout_system.cpu.load[percpu,avg5]",sprout_system.cpu.switches,"sprout_system.cpu.util[,idle]","sprout_system.cpu.util[,interrupt]","sprout_system.cpu.util[,iowait]","sprout_system.cpu.util[,nice]","sprout_system.cpu.util[,softirq]","sprout_system.cpu.util[,steal]","sprout_system.cpu.util[,system]","sprout_system.cpu.util[,user]","sprout_system.swap.size[,free]","sprout_system.swap.size[,pfree]","sprout_system.swap.size[,total]","sprout_vfs.fs.inode[/,pfree]","sprout_vfs.fs.inode[/boot,pfree]","sprout_vfs.fs.inode[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.inode[/var/lib/kubelet,pfree]","sprout_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/,pfree]","sprout_vfs.fs.size[/,total]","sprout_vfs.fs.size[/,used]","sprout_vfs.fs.size[/boot,free]","sprout_vfs.fs.size[/boot,pfree]","sprout_vfs.fs.size[/boot,total]","sprout_vfs.fs.size[/boot,used]","sprout_vfs.fs.size[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.size[/var/lib/docker/aufs,total]","sprout_vfs.fs.size[/var/lib/docker/aufs,used]","sprout_vfs.fs.size[/var/lib/kubelet,free]","sprout_vfs.fs.size[/var/lib/kubelet,pfree]","sprout_vfs.fs.size[/var/lib/kubelet,total]","sprout_vfs.fs.size[/var/lib/kubelet,used]","sprout_vfs.fs.size[/var/lib/rancher/volumes,free]","sprout_vfs.fs.size[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/var/lib/rancher/volumes,total]","sprout_vfs.fs.size[/var/lib/rancher/volumes,used]",sprout_vm.memory.size[available],sprout_vm.memory.size[total],sla level
1527829807,198224,580456,2,206,952,0.0000,0.0400,0.0300,2542,95.7222,0.0000,0.4028,0.0000,0.2516,0.0000,2.6161,1.7791,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2194,79680208896,7395037184,408983552,87.2071,494512128,59996160,90.2194,79680208896,7395028992,68213981184,90.2194,79680208896,7395028992,68213981184,90.2194,79680208896,7395028992,7683895296,8371621888,5104864,4719776,2,231,3349,0.2900,0.1100,0.1800,6000,78.2891,0.0000,0.2840,0.0000,5.7705,0.0000,4.4118,10.2406,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9596,79680208896,6835351552,408983552,87.2071,494512128,59996160,90.9594,79680208896,6835503104,68773740544,90.9597,79680208896,6835269632,68773818368,90.9598,79680208896,6835191808,7640285184,8371621888,23394584,26247944,3,215,5612,0.9700,0.2800,0.3800,9855,41.1930,0.0000,0.1822,0.0166,16.1947,0.0000,8.1139,32.0967,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9582,79680208896,6836453376,408983552,87.2071,494512128,59996160,90.9581,79680208896,6836473856,68772564992,90.9582,79680208896,6836445184,68772524032,90.9581,79680208896,6836486144,7112564736,8371621888,2
1527829812,138400,73208,2,214,909,0.0000,0.0400,0.0300,2663,93.0373,0.0000,0.4024,0.0000,0.3027,0.0000,2.9768,3.1690,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2193,79680208896,7395053568,408983552,87.2071,494512128,59996160,90.2194,79680208896,7395045376,68213964800,90.2194,79680208896,7395045376,68213964800,90.2194,79680208896,7395045376,3377479680,8371621888,5272960,4423392,2,231,3317,0.2700,0.1100,0.1800,5959,76.3070,0.0000,0.3001,0.0000,6.4645,0.0000,4.8199,11.3204,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9591,79680208896,6835740672,408983552,87.2071,494512128,59996160,90.9590,79680208896,6835818496,68773343232,90.9592,79680208896,6835666944,68773429248,90.9593,79680208896,6835580928,7640166400,8371621888,25102864,27447440,2,215,5529,1.0600,0.2900,0.3900,10350,36.2945,0.0000,0.1655,0.0331,17.9818,0.0000,8.6064,35.6670,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9581,79680208896,6836510720,408983552,87.2071,494512128,59996160,90.9580,79680208896,6836531200,68772507648,90.9581,79680208896,6836502528,68772470784,90.9580,79680208896,6836539392,7111606272,8371621888,2
1527829817,213904,91992,2,213,843,0.0000,0.0400,0.0300,2459,93.0820,0.0000,0.4711,0.0000,0.2861,0.0000,2.9946,3.2133,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2193,79680208896,7395053568,408983552,87.2071,494512128,59996160,90.2193,79680208896,7395053568,68213956608,90.2193,79680208896,7395053568,68213956608,90.2193,79680208896,7395053568,3378819072,8371621888,5237768,4417520,4,231,3412,0.2500,0.1100,0.1700,6012,74.2719,0.0000,0.2828,0.0000,7.1357,0.0000,5.0424,12.1424,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9587,79680208896,6836056064,408983552,87.2071,494512128,59996160,90.9585,79680208896,6836215808,68773027840,90.9588,79680208896,6835982336,68773105664,90.9589,79680208896,6835904512,7640346624,8371621888,25355352,27681928,2,215,5549,1.0500,0.3000,0.3900,10009,30.4024,0.0000,0.1654,0.0331,19.4040,0.0000,9.2234,38.5213,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9580,79680208896,6836568064,408983552,87.2071,494512128,59996160,90.9580,79680208896,6836588544,68772458496,90.9580,79680208896,6836551680,68772413440,90.9580,79680208896,6836596736,7110225920,8371621888,2
1527829822,110960,99200,3,213,887,0.0000,0.0400,0.0300,2582,92.9833,0.0000,0.4711,0.0000,0.3029,0.0000,2.9961,3.2139,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2193,79680208896,7395078144,408983552,87.2071,494512128,59996160,90.2193,79680208896,7395065856,68213932032,90.2193,79680208896,7395078144,68213932032,90.2193,79680208896,7395078144,3378724864,8371621888,5247544,4441880,3,231,3279,0.2300,0.1100,0.1700,5893,73.1703,0.0000,0.2823,0.0000,7.4773,0.0000,5.5389,12.9525,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9582,79680208896,6836453376,408983552,87.2071,494512128,59996160,90.9579,79680208896,6836613120,68772630528,90.9582,79680208896,6836379648,68772716544,90.9584,79680208896,6836293632,7639715840,8371621888,25135352,27406328,3,215,5488,1.1300,0.3100,0.4200,9916,26.2757,0.0000,0.1491,0.0166,20.6725,0.0000,9.5656,41.9387,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9579,79680208896,6836617216,408983552,87.2071,494512128,59996160,90.9579,79680208896,6836654080,68772401152,90.9579,79680208896,6836609024,68772335616,90.9579,79680208896,6836674560,7109050368,8371621888,2
1527829827,209920,83184,2,213,832,0.0000,0.0400,0.0300,2453,92.9016,0.0000,0.4879,0.0000,0.3027,0.0000,2.9441,3.2301,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2193,79680208896,7395086336,408983552,87.2071,494512128,59996160,90.2193,79680208896,7395086336,68213923840,90.2193,79680208896,7395086336,68213923840,90.2193,79680208896,7395086336,3378884608,8371621888,5291424,4433712,2,231,3383,0.4500,0.1200,0.2200,5952,73.0502,0.0000,0.2974,0.0000,7.6351,0.0000,5.7152,13.3488,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9576,79680208896,6836854784,408983552,87.2071,494512128,59996160,90.9574,79680208896,6837010432,68772241408,90.9577,79680208896,6836768768,68772319232,90.9578,79680208896,6836690944,7639724032,8371621888,25221520,27518664,2,215,5487,1.2000,0.3000,0.4400,10016,24.8127,0.0000,0.1327,0.0166,21.2610,0.0000,9.5785,43.8474,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9578,79680208896,6836690944,408983552,87.2071,494512128,59996160,90.9578,79680208896,6836711424,68772327424,90.9578,79680208896,6836682752,68772278272,90.9578,79680208896,6836731904,7107518464,8371621888,0
1527829832,127888,72176,2,213,925,0.0000,0.0400,0.0300,2506,92.9978,0.0000,0.5551,0.0000,0.3031,0.0000,2.8778,3.2801,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2193,79680208896,7395106816,408983552,87.2071,494512128,59996160,90.2193,79680208896,7395098624,68213903360,90.2193,79680208896,7395106816,68213911552,90.2193,79680208896,7395098624,3378765824,8371621888,5199176,4408720,3,231,3283,0.4100,0.1200,0.2100,6031,73.1138,0.0000,0.3471,0.0000,7.6720,0.0000,5.6510,13.2375,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9571,79680208896,6837243904,408983552,87.2071,494512128,59996160,90.9569,79680208896,6837403648,68771848192,90.9572,79680208896,6837166080,68771921920,90.9573,79680208896,6837088256,7639351296,8371621888,25100232,27432112,3,215,5461,1.1000,0.3100,0.4400,10025,24.0660,0.0000,0.1167,0.0167,21.4119,0.0000,9.7345,44.4000,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9578,79680208896,6836752384,408983552,87.2071,494512128,59996160,90.9577,79680208896,6836776960,68772270080,90.9578,79680208896,6836740096,68772225024,90.9577,79680208896,6836785152,7106174976,8371621888,0
1527829837,194168,112880,2,213,867,0.0000,0.0400,0.0300,2633,93.0495,0.0000,0.4713,0.0000,0.3030,0.0000,2.8783,3.2318,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2193,79680208896,7395115008,408983552,87.2071,494512128,59996160,90.2193,79680208896,7395106816,68213903360,90.2193,79680208896,7395106816,68213903360,90.2193,79680208896,7395106816,3378786304,8371621888,5485680,4619696,2,231,3371,0.3800,0.1200,0.2100,6103,73.0916,0.0000,0.3642,0.0000,7.6783,0.0000,5.5638,13.2594,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9566,79680208896,6837645312,408983552,87.2071,494512128,59996160,90.9564,79680208896,6837805056,68771442688,90.9567,79680208896,6837567488,68771516416,90.9568,79680208896,6837493760,7639203840,8371621888,25107736,27344240,2,215,5490,1.0900,0.3200,0.4900,10237,23.3986,0.0000,0.0668,0.0167,21.5217,0.0000,9.9281,44.9716,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9577,79680208896,6836809728,408983552,87.2071,494512128,59996160,90.9577,79680208896,6836830208,68772216832,90.9577,79680208896,6836793344,68772163584,90.9576,79680208896,6836846592,7105703936,8371621888,0
1527829842,136736,72128,3,213,918,0.0000,0.0300,0.0300,2399,92.9125,0.0000,0.4714,0.0000,0.3030,0.0000,2.8793,3.2828,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2192,79680208896,7395135488,408983552,87.2071,494512128,59996160,90.2193,79680208896,7395123200,68213882880,90.2193,79680208896,7395127296,68213886976,90.2193,79680208896,7395123200,3378794496,8371621888,5216736,4385320,2,231,3244,0.3500,0.1200,0.2100,5812,73.1165,0.0000,0.3316,0.0000,7.6311,0.0000,5.6679,13.1985,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9560,79680208896,6838042624,408983552,87.2071,494512128,59996160,90.9558,79680208896,6838198272,68771049472,90.9562,79680208896,6837960704,68771127296,90.9563,79680208896,6837882880,7639076864,8371621888,25133232,27499392,2,215,5478,1.2500,0.3200,0.4800,10177,22.7941,0.0000,0.0501,0.0167,21.5778,0.0000,10.1120,45.2540,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9576,79680208896,6836875264,408983552,87.2071,494512128,59996160,90.9576,79680208896,6836891648,68772155392,90.9576,79680208896,6836854784,68772093952,90.9575,79680208896,6836916224,7104438272,8371621888,0
1527829847,187904,97592,2,213,837,0.0000,0.0300,0.0300,2514,92.8788,0.0000,0.5050,0.0000,0.3031,0.0000,2.8956,3.4506,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2192,79680208896,7395139584,408983552,87.2071,494512128,59996160,90.2192,79680208896,7395139584,68213870592,90.2192,79680208896,7395139584,68213870592,90.2192,79680208896,7395139584,3378802688,8371621888,5291832,4466008,3,236,3346,0.3200,0.1200,0.2000,6043,71.8636,0.0000,0.3490,0.0000,7.5874,0.0000,5.6432,13.2602,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9555,79680208896,6838431744,408983552,87.2071,494512128,59996160,90.9553,79680208896,6838599680,68770652160,90.9556,79680208896,6838358016,68770738176,90.9557,79680208896,6838272000,7637647360,8371621888,25260040,27605984,3,215,5479,1.1500,0.3200,0.4700,9907,22.4561,0.0000,0.0668,0.0167,21.7340,0.0000,10.0050,45.5153,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9575,79680208896,6836936704,408983552,87.2071,494512128,59996160,90.9575,79680208896,6836957184,68772085760,90.9575,79680208896,6836924416,68772036608,90.9575,79680208896,6836973568,7103610880,8371621888,0
1527829852,136240,107504,5,213,875,0.0000,0.0300,0.0300,2586,92.8307,0.0000,0.4881,0.0000,0.2862,0.0000,2.8610,3.5005,4294963200,100.0000,4294963200,95.4798,99.7583,95.4798,95.4798,95.4798,90.2192,79680208896,7395155968,408983552,87.2071,494512128,59996160,90.2192,79680208896,7395147776,68213854208,90.2192,79680208896,7395155968,68213854208,90.2192,79680208896,7395155968,3378810880,8371621888,5015536,4218264,2,234,2818,0.3800,0.1200,0.2200,5557,71.6994,0.0000,0.3329,0.0000,7.6450,0.0000,5.7267,14.5972,4294963200,100.0000,4294963200,95.5955,99.7583,95.5955,95.5955,95.5955,90.9550,79680208896,6838808576,408983552,87.2071,494512128,59996160,90.9549,79680208896,6838910976,68770258944,90.9551,79680208896,6838751232,68770332672,90.9552,79680208896,6838677504,7638777856,8371621888,25388736,27454304,3,217,4964,1.0500,0.3200,0.4600,9983,21.5647,0.0000,0.0669,0.0167,21.7951,0.0000,10.0970,45.8466,4294963200,100.0000,4294963200,95.5953,99.7583,95.5953,95.5953,95.5953,90.9574,79680208896,6836994048,408983552,87.2071,494512128,59996160,90.9574,79680208896,6837026816,68772028416,90.9575,79680208896,6836981760,68771975168,90.9574,79680208896,6837035008,7102795776,8371621888,0
