clock,bono_net.if.in[ens160],bono_net.if.out[ens160],"bono_proc.num[,,run]",bono_proc.num[],bono_system.cpu.intr,"bono_system.cpu.load[percpu,avg1]","bono_system.cpu.load[percpu,avg15]","bono_system.cpu.load[percpu,avg5]",bono_system.cpu.switches,"bono_system.cpu.util[,idle]","bono_system.cpu.util[,interrupt]","bono_system.cpu.util[,iowait]","bono_system.cpu.util[,nice]","bono_system.cpu.util[,softirq]","bono_system.cpu.util[,steal]","bono_system.cpu.util[,system]","bono_system.cpu.util[,user]","bono_system.swap.size[,free]","bono_system.swap.size[,pfree]","bono_system.swap.size[,total]","bono_vfs.fs.inode[/,pfree]","bono_vfs.fs.inode[/boot,pfree]","bono_vfs.fs.inode[/var/lib/docker/aufs,pfree]","bono_vfs.fs.inode[/var/lib/kubelet,pfree]","bono_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/,pfree]","bono_vfs.fs.size[/,total]","bono_vfs.fs.size[/,used]","bono_vfs.fs.size[/boot,free]","bono_vfs.fs.size[/boot,pfree]","bono_vfs.fs.size[/boot,total]","bono_vfs.fs.size[/boot,used]","bono_vfs.fs.size[/var/lib/docker/aufs,pfree]","bono_vfs.fs.size[/var/lib/docker/aufs,total]","bono_vfs.fs.size[/var/lib/docker/aufs,used]","bono_vfs.fs.size[/var/lib/kubelet,free]","bono_vfs.fs.size[/var/lib/kubelet,pfree]","bono_vfs.fs.size[/var/lib/kubelet,total]","bono_vfs.fs.size[/var/lib/kubelet,used]","bono_vfs.fs.size[/var/lib/rancher/volumes,free]","bono_vfs.fs.size[/var/lib/rancher/volumes,pfree]","bono_vfs.fs.size[/var/lib/rancher/volumes,total]","bono_vfs.fs.size[/var/lib/rancher/volumes,used]",bono_vm.memory.size[available],bono_vm.memory.size[total],homestead_net.if.in[ens160],homestead_net.if.out[ens160],"homestead_proc.num[,,run]",homestead_proc.num[],homestead_system.cpu.intr,"homestead_system.cpu.load[percpu,avg1]","homestead_system.cpu.load[percpu,avg15]","homestead_system.cpu.load[percpu,avg5]",homestead_system.cpu.switches,"homestead_system.cpu.util[,idle]","homestead_system.cpu.util[,interrupt]","homestead_system.cpu.util[,iowait]","homestead_system.cpu.util[,nice]","homestead_system.cpu.util[,softirq]","homestead_system.cpu.util[,steal]","homestead_system.cpu.util[,system]","homestead_system.cpu.util[,user]","homestead_system.swap.size[,free]","homestead_system.swap.size[,pfree]","homestead_system.swap.size[,total]","homestead_vfs.fs.inode[/,pfree]","homestead_vfs.fs.inode[/boot,pfree]","homestead_vfs.fs.inode[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.inode[/var/lib/kubelet,pfree]","homestead_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/,pfree]","homestead_vfs.fs.size[/,total]","homestead_vfs.fs.size[/,used]","homestead_vfs.fs.size[/boot,free]","homestead_vfs.fs.size[/boot,pfree]","homestead_vfs.fs.size[/boot,total]","homestead_vfs.fs.size[/boot,used]","homestead_vfs.fs.size[/var/lib/docker/aufs,pfree]","homestead_vfs.fs.size[/var/lib/docker/aufs,total]","homestead_vfs.fs.size[/var/lib/docker/aufs,used]","homestead_vfs.fs.size[/var/lib/kubelet,free]","homestead_vfs.fs.size[/var/lib/kubelet,pfree]","homestead_vfs.fs.size[/var/lib/kubelet,total]","homestead_vfs.fs.size[/var/lib/kubelet,used]","homestead_vfs.fs.size[/var/lib/rancher/volumes,free]","homestead_vfs.fs.size[/var/lib/rancher/volumes,pfree]","homestead_vfs.fs.size[/var/lib/rancher/volumes,total]","homestead_vfs.fs.size[/var/lib/rancher/volumes,used]",homestead_vm.memory.size[available],homestead_vm.memory.size[total],sprout_net.if.in[ens160],sprout_net.if.out[ens160],"sprout_proc.num[,,run]",sprout_proc.num[],sprout_system.cpu.intr,"sprout_system.cpu.load[percpu,avg1]","sprout_system.cpu.load[percpu,avg15]","sprout_system.cpu.load[percpu,avg5]",sprout_system.cpu.switches,"sprout_system.cpu.util[,idle]","sprout_system.cpu.util[,interrupt]","sprout_system.cpu.util[,iowait]","sprout_system.cpu.util[,nice]","sprout_system.cpu.util[,softirq]","sprout_system.cpu.util[,steal]","sprout_system.cpu.util[,system]","sprout_system.cpu.util[,user]","sprout_system.swap.size[,free]","sprout_system.swap.size[,pfree]","sprout_system.swap.size[,total]","sprout_vfs.fs.inode[/,pfree]","sprout_vfs.fs.inode[/boot,pfree]","sprout_vfs.fs.inode[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.inode[/var/lib/kubelet,pfree]","sprout_vfs.fs.inode[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/,pfree]","sprout_vfs.fs.size[/,total]","sprout_vfs.fs.size[/,used]","sprout_vfs.fs.size[/boot,free]","sprout_vfs.fs.size[/boot,pfree]","sprout_vfs.fs.size[/boot,total]","sprout_vfs.fs.size[/boot,used]","sprout_vfs.fs.size[/var/lib/docker/aufs,pfree]","sprout_vfs.fs.size[/var/lib/docker/aufs,total]","sprout_vfs.fs.size[/var/lib/docker/aufs,used]","sprout_vfs.fs.size[/var/lib/kubelet,free]","sprout_vfs.fs.size[/var/lib/kubelet,pfree]","sprout_vfs.fs.size[/var/lib/kubelet,total]","sprout_vfs.fs.size[/var/lib/kubelet,used]","sprout_vfs.fs.size[/var/lib/rancher/volumes,free]","sprout_vfs.fs.size[/var/lib/rancher/volumes,pfree]","sprout_vfs.fs.size[/var/lib/rancher/volumes,total]","sprout_vfs.fs.size[/var/lib/rancher/volumes,used]",sprout_vm.memory.size[available],sprout_vm.memory.size[total],workload level
1527822492,142160,96992,4,204,872,0.0600,0.0800,0.0500,2430,96.1584,0.0000,0.5200,0.0000,0.2516,0.0000,1.2079,1.9292,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2080,79680208896,7403659264,408983552,87.2071,494512128,59996160,90.2080,79680208896,7403651072,68205359104,90.2080,79680208896,7403651072,68205359104,90.2080,79680208896,7403651072,7675097088,8371621888,5430848,4674632,6,231,3224,0.2400,0.1600,0.2400,5880,70.5023,0.0000,0.3355,0.0168,8.4663,0.0000,6.3045,14.8776,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1509,79680208896,6690680832,408983552,87.2071,494512128,59996160,91.1508,79680208896,6690799616,68918398976,91.1510,79680208896,6690611200,68918464512,91.1511,79680208896,6690545664,7629012992,8371621888,19104824,22399288,3,215,5109,9.2000,1.8800,4.6200,9839,14.7439,0.0000,0.0504,0.0168,21.4178,0.0000,10.0941,54.4310,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0410,79680208896,6773776384,408983552,87.2071,494512128,59996160,91.0410,79680208896,6773837824,68835258368,91.0411,79680208896,6773751808,68835090432,91.0409,79680208896,6773919744,7392657408,8371621888,0.5
1527822497,205424,91352,2,204,822,0.0600,0.0800,0.0500,2545,96.1403,0.0000,0.4865,0.0000,0.2685,0.0000,1.2244,1.9124,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2080,79680208896,7403667456,408983552,87.2071,494512128,59996160,90.2080,79680208896,7403659264,68205350912,90.2080,79680208896,7403659264,68205350912,90.2080,79680208896,7403659264,7675097088,8371621888,4956600,4089896,2,231,3358,0.2200,0.1600,0.2300,6211,70.7145,0.0000,0.3528,0.0168,8.3109,0.0000,6.1146,14.6001,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1506,79680208896,6690951168,408983552,87.2071,494512128,59996160,91.1504,79680208896,6691082240,68918128640,91.1507,79680208896,6690881536,68918210560,91.1508,79680208896,6690799616,7629160448,8371621888,15752856,17327888,3,215,5102,9.2000,1.8800,4.5700,8397,16.9021,0.0000,0.0504,0.0168,20.9987,0.0000,10.1245,53.1407,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0407,79680208896,6774001664,408983552,87.2071,494512128,59996160,91.0407,79680208896,6774026240,68835049472,91.0408,79680208896,6773960704,68834971648,91.0407,79680208896,6774038528,7393984512,8371621888,0.5
1527822502,147200,78696,2,204,860,0.0600,0.0800,0.0500,2428,96.0409,0.0000,0.4698,0.0000,0.2517,0.0000,1.2412,1.9295,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403675648,408983552,87.2071,494512128,59996160,90.2080,79680208896,7403667456,68205334528,90.2079,79680208896,7403675648,68205334528,90.2079,79680208896,7403675648,7675113472,8371621888,6411616,5481296,2,231,4043,0.2800,0.1600,0.2500,6987,70.7333,0.0000,0.3353,0.0168,8.3739,0.0000,5.8843,14.6546,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1500,79680208896,6691397632,408983552,87.2071,494512128,59996160,91.1498,79680208896,6691573760,68917706752,91.1501,79680208896,6691303424,68917809152,91.1503,79680208896,6691201024,7628804096,8371621888,18694496,24704112,4,215,5405,8.6200,1.9100,4.6300,10210,17.7965,0.0000,0.0504,0.0168,20.5952,0.0000,10.1245,51.6644,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0406,79680208896,6774083584,408983552,87.2071,494512128,59996160,91.0405,79680208896,6774165504,68834942976,91.0407,79680208896,6774067200,68834795520,91.0405,79680208896,6774214656,7391584256,8371621888,0.5
1527822507,177256,104424,2,204,889,0.0500,0.0800,0.0500,2526,96.0262,0.0000,0.5032,0.0000,0.2682,0.0000,1.3078,1.8618,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403683840,408983552,87.2071,494512128,59996160,90.2079,79680208896,7403683840,68205326336,90.2079,79680208896,7403683840,68205326336,90.2079,79680208896,7403683840,7675215872,8371621888,5480776,4644056,3,231,3079,0.2600,0.1600,0.2400,6043,71.2557,0.0000,0.3523,0.0168,8.1108,0.0000,5.8537,14.6284,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1495,79680208896,6691774464,408983552,87.2071,494512128,59996160,91.1493,79680208896,6691897344,68917293056,91.1496,79680208896,6691721216,68917350400,91.1497,79680208896,6691659776,7628742656,8371621888,21202392,26878224,3,215,5289,8.5700,1.9100,4.5800,10460,18.6754,0.0000,0.0504,0.0000,20.3361,0.0000,10.0723,51.4031,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0404,79680208896,6774239232,408983552,87.2071,494512128,59996160,91.0404,79680208896,6774247424,68834787328,91.0405,79680208896,6774222848,68834762752,91.0404,79680208896,6774247424,7394590720,8371621888,0.5
1527822512,150368,78376,2,204,930,0.0400,0.0800,0.0500,2690,96.0255,0.0000,0.5198,0.0000,0.2683,0.0000,1.3751,1.8779,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403692032,408983552,87.2071,494512128,59996160,90.2079,79680208896,7403692032,68205318144,90.2079,79680208896,7403692032,68205318144,90.2079,79680208896,7403692032,7675265024,8371621888,4153712,3543752,6,231,2551,0.2400,0.1600,0.2400,5273,72.0766,0.0000,0.3532,0.0168,7.7298,0.0000,5.8507,14.3626,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1491,79680208896,6692057088,408983552,87.2071,494512128,59996160,91.1490,79680208896,6692163584,68917006336,91.1492,79680208896,6692003840,68917055488,91.1493,79680208896,6691954688,7628460032,8371621888,18060672,25000176,2,215,5149,8.0500,1.9200,4.5600,10008,19.7477,0.0000,0.0504,0.0000,19.8957,0.0000,9.9613,50.9662,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0404,79680208896,6774255616,408983552,87.2071,494512128,59996160,91.0404,79680208896,6774255616,68834762752,91.0404,79680208896,6774247424,68834750464,91.0404,79680208896,6774259712,7394574336,8371621888,0.5
1527822517,177144,79696,2,205,833,0.0400,0.0700,0.0400,2501,95.9933,0.0000,0.5199,0.0000,0.2681,0.0000,1.4748,1.8279,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403712512,408983552,87.2071,494512128,59996160,90.2079,79680208896,7403700224,68205297664,90.2079,79680208896,7403712512,68205309952,90.2079,79680208896,7403700224,7677669376,8371621888,5424712,4451720,2,231,4024,0.3000,0.1700,0.2500,6486,72.0840,0.0000,0.3528,0.0168,7.6626,0.0000,5.6965,14.0457,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1486,79680208896,6692446208,408983552,87.2071,494512128,59996160,91.1484,79680208896,6692638720,68916682752,91.1488,79680208896,6692327424,68916781056,91.1489,79680208896,6692229120,7628283904,8371621888,14771168,20700736,2,217,5712,7.6400,1.9300,4.5700,9517,21.2279,0.0000,0.0505,0.0000,19.7678,0.0000,9.9260,49.4953,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0403,79680208896,6774325248,408983552,87.2071,494512128,59996160,91.0403,79680208896,6774370304,68834725888,91.0404,79680208896,6774284288,68834607104,91.0402,79680208896,6774403072,7396945920,8371621888,0.5
1527822522,146344,94448,2,205,920,0.0400,0.0700,0.0400,2543,95.9262,0.0000,0.5365,0.0000,0.2683,0.0000,1.5091,1.7435,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403720704,408983552,87.2071,494512128,59996160,90.2079,79680208896,7403712512,68205289472,90.2079,79680208896,7403720704,68205289472,90.2079,79680208896,7403720704,7677685760,8371621888,5340784,4553512,4,231,2325,0.2700,0.1700,0.2500,5652,73.0129,0.0000,0.3528,0.0168,7.5269,0.0000,5.6601,14.1633,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1481,79680208896,6692806656,408983552,87.2071,494512128,59996160,91.1481,79680208896,6692868096,68916232192,91.1482,79680208896,6692777984,68916273152,91.1482,79680208896,6692737024,7628283904,8371621888,22985608,27651912,6,215,4958,7.2400,1.9500,4.5700,9918,23.2413,0.0000,0.0505,0.0000,19.5253,0.0000,9.6313,48.7468,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0402,79680208896,6774431744,408983552,87.2071,494512128,59996160,91.0402,79680208896,6774444032,68834586624,91.0402,79680208896,6774423552,68834562048,91.0402,79680208896,6774448128,7396618240,8371621888,0.5
1527822527,174672,77800,2,205,841,0.0300,0.0700,0.0400,2526,95.9437,0.0000,0.5200,0.0000,0.2348,0.0000,1.5253,1.7444,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403728896,408983552,87.2071,494512128,59996160,90.2079,79680208896,7403720704,68205281280,90.2079,79680208896,7403728896,68205281280,90.2079,79680208896,7403728896,7677693952,8371621888,4525064,3663384,2,231,3571,0.2500,0.1700,0.2400,6315,73.6062,0.0000,0.3529,0.0168,7.2498,0.0000,5.4799,13.5103,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1477,79680208896,6693109760,408983552,87.2071,494512128,59996160,91.1475,79680208896,6693281792,68915998720,91.1479,79680208896,6693011456,68916105216,91.1480,79680208896,6692904960,7627874304,8371621888,13561864,19481712,5,215,5079,6.6600,1.9400,4.5000,8616,25.2740,0.0000,0.0674,0.0000,18.5803,0.0000,9.3223,47.1104,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0401,79680208896,6774468608,408983552,87.2071,494512128,59996160,91.0400,79680208896,6774554624,68834562048,91.0402,79680208896,6774448128,68834414592,91.0400,79680208896,6774595584,7396159488,8371621888,0.5
1527822532,149528,85992,3,205,873,0.0300,0.0700,0.0400,2470,96.0932,0.0000,0.5030,0.0000,0.2515,0.0000,1.4755,1.7438,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2079,79680208896,7403741184,408983552,87.2071,494512128,59996160,90.2079,79680208896,7403737088,68205268992,90.2079,79680208896,7403741184,68205273088,90.2079,79680208896,7403737088,7677702144,8371621888,5387840,4623016,2,231,3052,0.2300,0.1600,0.2400,5842,74.3193,0.0000,0.3531,0.0168,7.1573,0.0000,5.4405,13.1999,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1472,79680208896,6693478400,408983552,87.2071,494512128,59996160,91.1472,79680208896,6693548032,68915593216,91.1473,79680208896,6693416960,68915650560,91.1474,79680208896,6693359616,7627821056,8371621888,15493960,19310416,2,215,4966,6.2000,1.9300,4.4400,9795,27.1715,0.0000,0.0506,0.0000,18.1266,0.0000,9.3270,46.3147,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0399,79680208896,6774611968,408983552,87.2071,494512128,59996160,91.0399,79680208896,6774628352,68834402304,91.0400,79680208896,6774603776,68834381824,91.0399,79680208896,6774628352,7397244928,8371621888,0.5
1527822537,193080,82632,4,205,871,0.0300,0.0700,0.0400,2553,96.1100,0.0000,0.5200,0.0000,0.2516,0.0000,1.4923,1.6773,4294963200,100.0000,4294963200,95.4799,99.7583,95.4799,95.4799,95.4799,90.2078,79680208896,7403757568,408983552,87.2071,494512128,59996160,90.2078,79680208896,7403749376,68205252608,90.2078,79680208896,7403757568,68205260800,90.2078,79680208896,7403749376,7677714432,8371621888,5783120,4862584,3,231,4111,0.2100,0.1600,0.2300,6850,73.3131,0.0000,0.3698,0.0000,7.2510,0.0000,5.2269,13.0610,4294963200,100.0000,4294963200,95.5956,99.7583,95.5956,95.5956,95.5956,91.1468,79680208896,6693834752,408983552,87.2071,494512128,59996160,91.1465,79680208896,6694039552,68915290112,91.1469,79680208896,6693715968,68915392512,91.1471,79680208896,6693617664,7627849728,8371621888,17324680,23981584,4,215,5168,6.2000,1.9400,4.4200,9901,27.1104,0.0000,0.0506,0.0000,17.9089,0.0000,9.3603,45.0514,4294963200,100.0000,4294963200,95.5954,99.7583,95.5954,95.5954,95.5954,91.0399,79680208896,6774665216,408983552,87.2071,494512128,59996160,91.0398,79680208896,6774738944,68834349056,91.0399,79680208896,6774661120,68834168832,91.0396,79680208896,6774841344,7397462016,8371621888,0.5
